address,holding,name,tel_email
"
                            307100,                             Курская обл., Фатежский район, пос. Чермошной                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				ЭКСПЕРИМЕНТАЛЬНЫЙ КОМБИНАТ ДЕТСКОГО ПИТАНИЯ, филиал ОАО Вимм-Билль-Данн				,			","
                                ,
                                ,
                            "
"
                                                        Краснодарский кр, Гулькевичский район, г. Гулькевичи, ул. Короткова, д. 155                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Гулькевичский маслозавод, АО				,			","+7 (861) 6024167 , +7 (86160) 21086 , +7 (86160) 34167 , +7 (86160) 51159,
                                ,
                                ,
                            "
"
                            612140,                             Кировская обл., Даровской р-н, пгт. Даровской, ул. Лесная, д. 1                        ","В составе холдинга «Дороничи, АГ»","
				Даровской маслодельный завод (ДМЗ), ЗАО				,			","8 (83336) 2-13-91,dar-milk@mail.ru"
"
                                                        Белгородская область, Корочанский район, с.Шеино                        ","В составе холдинга «Эфко, ГК»","
				Молочная компания Северский Донец, ООО				,			",+7 (472) 2783129
"
                            628406,                             Ханты-Мансийский автономный округ, г. Сургут, ш. Нефтеюганское,4                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Сургутский гормолзавод, Филиал ОАО ""Вимм Билль Данн""				,			","+7 (3462) 37-91-47 ,dmz@surgut.ru "
"
                            354003,                             край КРАСНОДАРСКИЙ, г СОЧИ, ул КРАСНОДОНСКАЯ, 64                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Филиал ОАО «Вимм-Билль-Данн» в г. Сочи				,			","+7 (862) 2608240,
                                ,
                                ,
                            "
"
                            160010,                             Вологодская область, г. Вологда, ул. Михаила Поповича, 4А                        ",В составе холдинга «Nestlé S.A.»,"
				Нестле Вологда детское питание, ООО				,			","+78172786900,
                            ,
                        ,ilya.kogan@ru.nestle.com "
"
                            646760,                             Омская обл., пгт. Павлоградка, ул. Ленина, 4.                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Павлоградский молочный завод, Филиал ОАО ""Вимм Билль Данн""				,			",+7 (38172) 3–11–61
"
                            646130,                             Омская область, Крутинский район, поселок городского типа                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Крутинский молочный комбинат, Филиал ОАО ""Вимм Билл Данн""				,			",
"
                             660062,                             Красноярский край, г. Красноярск, Телевизорная ул., 8,                         ",В составе холдинга «Danone»,"
				Милко, ОАО				,			",
"
                            660111,                             Красноярский край, г. Красноярск, ул. Пограничников, д. 9 стр. 1                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Филиал ОАО Вимм-Билль-Данн в г. Красноярске				,			","
                                ,
                                ,
                            "
"
                                                        г ВОЛГОГРАД, ул АВТОТРАНСПОРТНАЯ, 43                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Филиал ОАО «Вимм-Билль-Данн» в г. Волгоград				,			",
"
                                                        Ростовская область, г Ростов-На-Дону, ул Доватора, 150                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Завод Вимм-Билль-Данн  Ростове-на-Дону. Филиал ОАО ""Вимм Билль Данн""				,			",
"
                            630514,                             Новосибирская обл., Новосибирский район, с. Красноглинное, ул. Мира, д. 20Б офис 34                        ",,"
				Толмачевский молочный завод, ООО							",
"
                                                         край КРАСНОДАРСКИЙ, г КРАСНОДАР, пгт ПАШКОВСКИЙ, ул БОРОДИНСКАЯ, 150                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Завод Вимм-Билль-Данн в Краснодаре. Филиал ОАО ""Вимм Билль Данн""				,			",
"
                                                        Рязанская обл., Рязанский район, с. Шумашь, ул. Центральная, д. 111 литера В                        ",,"
				Покровское молоко, ООО							",+7 (910) 5792929
"
                                                        Россия, Удмуртия, г. Ижевск, ул. Маяковского, 44                        ",В составе холдинга «КОМОС ГРУПП»,"
				Удмуртский хладокомбинат, ОАО				,			","+7 (341) 2505178 , +7 (341) 2307102, Факс  +7 (3412) 307076,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            "
"
                            607684,                             Нижегородская обл., Кстовский район, пос. Ждановский, тер. Центральной Усадьбы Спк Ждановский                        ",,"
				Заснеженная Русь, ООО							","+7 (831) 4561252 , +7 (910) 3947058,
                            ,
                        ,tvorog-nn@mail.ru"
"
                            143500,                             Московская обл., г. Истра,  ул. Московская, д. 48                        ",В составе холдинга «Danone»,"
				Истра-Нутриция, ОАО 				,			","+7 (495) 411-78-66,Info.Nutricia.Russia@danone.com,
                                ,
                                ,
                            "
"
                            188354,                             Ленинградская область, Гатчинский район, дер.М.Верево, ул.Кутышева, д.6В                        ",,"
				Фаэтон-Агро, ООО УК							",+7 (81371) 53268
"
                            632640,                             Новосибирская обл., Коченевский район, рабочий пос. Коченево, проспект Марковцева, д. 2А                        ",,"
				Сибмаслопродукт, ООО ПТК							","+7 (383) 2271425, Факс +7 (383) 2271429"
"
                                                        Тверская обл, Кимрский р-н, Кимры, ул. Центральная                        ",,"
				Хачтрян М.А. ИП							",89051291423 
"
                            641150,                             Курганская обл., Целинный район, с. Целинное, ул. Новоселов, д. 48                        ",,"
				Целинный сыродельный завод, ООО							",+7 (909) 1721333
"
                            660020,                             Красноярский край, г. Красноярск, ул. Шахтеров, д. 33 А                         ",,"
				Рассвет, ООО							",
"
                            301400,                             Тульская обл., Суворовский район, д Михайловка                        ",,"
				Агрофармтрест, ООО 							",+7 (499) 4010238
"
                            196634,                             г. Санкт-Петербург, пос. Шушары, ул. Центральная (Детскосельский), д. 17 литера А                        ","В составе холдинга «Детскосельский, концерн ООО»","
				Детскосельские деликатесы, ООО				,			",+7 (812) 3340477
"
                            125009,                             г. Москва, пер. Газетный, д. 17                        ",,"
				Москва-Макдоналдс, ЗАО							","+7 (495) 7556622 , +7 (495) 7828817 , +7 (495) 7556641 , +7 (495) 7556600"
"
                            620130,                             Свердловская обл., г. Екатеринбург, ул. Авиационная, д. 48А кв. 10                        ",,"
				Уральская сыроварня, ООО							",+7 (909) 4468534
"
                                                        Республика Татарстан (Татарстан), Лаишевский район, с Столбище, ул Северная, 10                        ",,"
				Каприно, ООО (Лаишевский молочный комбинат)							",
"
                            127591,                             г. Москва, шоссе Дмитровское, д. 108                         ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				ВБД, АО				,			","	 +7 (495) 9370550, +7 (3439) 666435,
                            ,
                        ,
                                ,
                                ,
                            "
"
                             659690,                             Алтайский кр, Солонешенский район, с. Солонешное, ул. П.Сухова, д. 54                        ",,"
				Солонешенский маслосырзавод, ОАО (ООО ТД Алтаймолпром)							","+7 (38594) 21118, +7 (38594) 21338, +7 (38594) 22451, +7 (38594) 22482, +7 (38594) 22893"
"
                            433876,                             Ульяновская область, Новоспасский район, с Троицкий Сунгур, ул. Молодежная, д. 7а                         ",В составе холдинга «Мясников Николай Григорьевич»,"
				НовМолДом, ООО				,			","(842) 383-11-52, +7 (84238) 31136 , +7 (84238) 31331"
"
                            368124,                             Дагестан респ, г. Кизилюрт, ул. Буйнакского, д. 6                        ",,"
				КМЗ Колос, ООО							","+7 (87234) 21282 , +7 (87234) 21333,admin_kiz@mail.ru"
"
                            453334,                             Башкортостан респ., Кугарчинский район, д Таваканово, ул. Сэнкем, д. 4 оф. 1                        ",В составе холдинга «Государственная собственность»,"
				Тавакан, ООО				,			","+7 (347) 8923625 , +7 (34789) 23497 , +7 (34789) 23725,tavakan@mail.ru"
"
                            652332,                             Кемеровская обл, Топкинский район, с. Зарубино, ул. Центральная, д. 17 офис 2                        ",В составе холдинга «Группа компаний с. Зарубино»,"
				Зерноград, ООО 				,			","+7 (961) 7020335,
                            ,
                        "
"
                                                         Воронежская область, г. Воронеж, пр. Патриотов, 61                        ","В составе холдинга «Воронежросагро, ООО»","
				Мясо-молочный комбинат ""Воронежросагро""				,			","+7 (473) 239-16-00,
                            ,
                        ,mail@7utra.ru"
"
                            249191,                             Калужская обл, Жуковский район, г. Жуков, ул. Угодка                        ",,"
				Жуковомолоко, АО							","8(48432)54-9-35, 54-3-45,
                            ,
                        ,gukovomoloko@mail.ru"
"
                            150049,                             Ярославль, ул Магистральная д20                        ",,"
				Славольская частная сыроварня 							",
"
                            249930,                             Россия, Калужская обл., Мосальский р-н, д. Стрельня, д. 25                        ","В составе холдинга «Азбука вкуса, ООО»","
				Азбука вкуса (бывш. Саяпин А.В., ИП КФХ)				,			","8 920 875-54-23,
                            ,
                        ,sayapinmilk@mail.ru"
"
                            452775,                             Башкортостан респ., Туймазинский район, д. Карат-Тамак                        ",,"
				Куш-Буляк КХ, ООО							","+7 (34782) 30749 , +7 (34782) 50370 , +7 (34712) 30749,kb30749@mail.ru , mkt-1@mail.ru"
"
                            650066,                             Кемеровская обл, г. Кемерово, проспект Ленина, д. 71                        ",,"
				Содружество, ООО (Кемеровская обл)							","+7 (384) 2642976 , +7 (384) 2568367"
"
                            432035,                             Ульяновская обл., г. Ульяновск, проспект Гая, д. 77                        ",,"
				Ульяновский хладокомбинат ТД, ООО							"," 	 +7 (842) 2327030 , +7 (842) 2111111 , +7 (842) 2360389 , +7 (842) 2360449 , +7 (8422) 320959,
                            ,
                        ,torgi_gera@mail.ru"
"
                            423970,                             Татарстан респ, Муслюмовский район, с. Муслюмово, ул. Лесная, д. 60                        ",В составе холдинга «Шаймурзин Фаит Фоатович»,"
				Фаиза, СХПССК 				,			","+7 (85556) 24875 , +7 (85556) 25369"
"
                            398902,                             Липецкая обл., г. Липецк, ул. Ангарская, д. 2                        ","В составе холдинга «ПРОГРЕСС КАПИТАЛ, АО»","
				Прогресс, АО				,			","+7 (474) 2420505 , +7 (474) 2420517,
                            ,
                        ,info@progressfood.ru , office.progress@lipetsk.ru"
"
                                                        Орловская обл, г. Ливны, ул. Красноармейская, д. 1Б/2                        ",В составе холдинга «Ходунов Владимир Никифорович»,"
				ЛИВЕНСКИЙ МАСЛОЗАВОД, ООО				,			","+7 (48677) 71015,
                            ,
                        "
"
                            606008,                             Нижегородская обл., г. Дзержинск, ул. Октябрьская, д. 33                        ",,"
				Калинов Мост, ООО							","+7 (8313) 250404 , +7 (8313) 250707 , +7 (8313) 231161,
                            ,
                        ,kalinov_most@kis.ru"
"
                            249340,                              Калужская обл., Жиздринский район, г. Жиздра, ул. Володарского, д. 61                        ","В составе холдинга «БРЯНСКИЕ СЫРОВАРНИ, ООО»","
				Жиздрамолпром, ООО				,			"," +7 (48445) 21663 , +7 (482) 4521663"
"
                            445043,                             Самарская обл, г. Тольятти, ул. Коммунальная, д. 26А                        ","В составе холдинга «АМП Дамол /Агроальянс, ООО (бывшее Далимо) »","
				Волга Индустрия, ООО				,			","+7 (8482) 391021 , +7 (8482) 391544 , +7 (937) 2763449 , +7 (987) 9556501"
"
                                                        Алтайский край, Барнаул, Индустриальный р-н                        ",,"
				Помилуйко Денис Борисович, ИП (Два Сыровара)							",
"
                            426076,                             Удмуртская респ., г. Ижевск, ул. Советская, д. 16                        ",,"
				Игра-Молоко, ООО							","8 (34134) 4-02-93,
                            ,
                        ,gramol@mail.ru"
"
                                                        Алтайский край, Локтевский район, Горняк                        ",,"
				Волженин Николай Гаврилович, ИП							",
"
                            606058,                             Володарский р-н Нижегородской области п. Ильиногорск                        ",,"
				Евсегнеева Надежда Владимировна, КФХ (Сыроварня Дрейгера)							","8-920-076-9262,nevsegneeva@mail.ru"
"
                            301016,                             Тульская область, район Заокский, с. Ненашево, ул. Каширская                         ","В составе холдинга «Ненашево-Агро, ООО»","
				Ненашево-Милк, ООО				,			","8 800 775-81-73, 8 495 926-91-26,
                            ,
                        ,info@nenashevo.ru"
"
                            306716,                             Курская обл., Касторенский р-н, Олымский                         ","В составе холдинга «Эрконпродукт, ООО»","
				Олымский молочно-консервный комбинат 				,			","
                            ,
                        "
"
                            399902,                             Липецкая обл., Чаплыгинский район, с. Юсово, ул. Советская, д. 9                        ",,"
				Восход, СССПОК							",+7 (474) 7532733
"
                            658430,                             Алтайский кр, Локтевский район, пос. Масальский, ул. Солдатская, д. 1                        ",,"
				Искра, СПК							","+7 (385) 8621323 , +7 (38586) 21340"
"
                            633221,                             Новосибирская обл, Искитимский район, с. Гусельниково, ул. Центральная, д. 9                        ",,"
				Сибирская усадьба, ПСПК							","+7 (383) 4325710 , +7 (38343) 64260"
"
                            346861,                             Ростовская обл, Неклиновский р-н, х.Максимов, пер.Кольцевой, д.14                        ","В составе холдинга «Васильковое поле Плюс, ООО»","
				Васильковое поле, ООО				,			",
"
                                                        Кабардино-Балкарская Республика, Зольский район, г.п.Залукокоаже, улица Калмыкова, 6                        ",,"
				Золотое утро, ООО							",
"
                                                        деревня Турынгурт, Увинский район, Удмуртская Республика, Россия                        ",,"
				ТурынГурт 							",
"
                            677000,                             Республика Саха (Якутия), г. Якутск, ул. 50 лет Советской Армии, д. 55                        ",В составе холдинга «Государственная собственность»,"
				Туймаада-Агроснаб, ОАО				,			","+7 (411) 2449080,
                            ,
                        ,vinokurov_81@bk.ru"
"
                            346970,                             Ростовская обл, пос. Матвеев Курган, ул. Молодежная, д. 43                        ","В составе холдинга «Васильковое поле Плюс, ООО»","
				Васильковое поле плюс, ООО				,			",
"
                            369010,                             Карачаево-Черкесская республика, Черкесск, ул. О.Касаева, 1                        ",,"
				Фирма Юг-Молоко, ОАО							","(8782) 27-92-52, 27-94-80,chgmz215@mail.svkchr.ru, ug-moloko@mail.ru"
"
                            432026,                              Ульяновская обл., г. Ульяновск, шоссе Московское, д. 74                        ",,"
				Ульяновскмолпром, ОАО							","+7 (8422) 271763 ,
                            ,
                        ,ulmolprom@ulmolprom.ru"
"
                            644116,                             Омская обл., г. Омск, ул. Северная 36-я, д. 5                        ",,"
				Сибирский молочный комбинат, ООО							","+7 (965) 9850630, 8 (960) 997-04-98,
                            ,
                        ,n.sid@mail.ru"
"
                            141591,                             Московская область, Солнечногорский район, д. Новая, 2А                        ",,"
				Продукты Лесных Озер, ООО							","+7 (495) 722-53-11,sales@moskefir.ru"
"
                            678170,                             Республика САХА (Якутия), г. Мирный, ул. Индустриальная, д. 3A                        ",В составе холдинга «Государственная собственность»,"
				Мирнинский молокозавод, МУП				,			","(41136) 4-61-50, 3-55-57 (молокозавод),gorodrynok@mirny.sakha.ru"
"
                            187550,                             Россия, Ленинградская область, г. Тихвин, ул. Карла Маркса, д. 116                        ",,"
				Тихвинский молочный завод, ОАО							","7 (81367) 70-081, +7 (81367) 70058 , +7 (81367) 71295,
                            ,
                        ,molochnuitichvin@mail.ru"
"
                            346503,                             Ростовская обл., г. Шахты, пер. Рыночный, д. 79                        ","В составе холдинга «Талосто, ЗАО»","
				Талосто-Шахты, ООО				,			",+7 (863) 6229133
"
                            662711,                              Красноярский край, Шушенский район, п. Шушенское, квартал МКК, 1а                        ","В составе холдинга «Саянмолоко, ООО»","
				Саянмолоко, ООО				,			","+7 (390) 4276039,
                            ,
                        ,info@sayanmoloko.ru"
"
                            399580,                             Липецкая обл., Воловский район, с. Волово, ул. Советская, д. 62 В                        ",,"
				Воловский молочный завод, ООО							",+7 (906) 5904262 
"
                            301657,                             Тульская обл., Новомосковский район, г. Новомосковск, ул. Вахрушева, д. 8                         ",,"
				Пуччини, ООО							",+7 (906) 6233939
"
                            634517,                             Томская обл, Томский р-н, д.Нелюбино, ул.Дорожная, д.30                        ",,"
				Томское молоко, ООО							","+7 (382) 2497012 , +7 (3822) 463182"
"
                             360000,                             Кабардино-Балкарская республика, г. Нальчик, ш. Прохладненское, д. 5 Км                        ",,"
				Комбинат цельномолочной продукции Нальчикский, ООО							",8662960126
"
                            353560,                             Краснодарский край, г. Славянск-на-Кубани, ул. Красная, 160                        ",,"
				Маслосырзавод Славянский, ОАО							","(86146) 2-13-42, 7-36-04,info@slavia.pp.ru"
"
                            188425,                             Ленинградская обл., Волосовский район, д Княжево                        ",,"
				Колония-поселение №1							","+7 (81373) 21744 , +7 (81373) 61234,kp-1@mail.ru"
"
                                                        Республика Хакасия, Боградский район, Бородинский, с Бородино                        ",,"
				Крюкова Надежда Александровна ИП							",
"
                                                        Республика Саха, Вилюйский улус, Лекеченский, с Лекечен                        ",,"
				Харлампьев Максим Афанасьевич ИП							",
"
                            297000,                             Республика Крым, пгт. Красногвардейский, ул. Заводская, д. 77                        ",,"
				Крымский молочник, ООО							","+38 (06556) 2-52-56, +7(978) 782-89-23 ,
                            ,
                        "
"
                            155520,                             Ивановская область, г.Иваново, 15-й проезд, д.4                        ",,"
				Ивановский молочно-жировой комбинат, ООО							","7 (4932) 59-16-11,
                            ,
                        "
"
                            399071,                             Липецкая обл., Грязинский район, с. Казинка, ул. Советская                        ",,"
				Липецкий пищевой комбинат, ООО							","+7 (474) 2438710,
                            ,
                        "
"
                                                        Владимирская обл., Собинский район, с. Ворша                        ",,"
				Ферреро Роше/Ferrero							",
"
                                                        Республика Ингушетия, Назрановский  район, с.п.Али-Юрт                         ",,"
				Комбинат детского питания 							",
"
                            351389,                             Российская Федерация, Краснодарский край, г. Кропоткин, пер. Восточный, 1                        ",,"
				Кропоткинский молочный комбинат, ОАО							","(861-38) 6-44-01  факс: (861-38) 7-78-61,
                            ,
                        , kombinat@kropmilk.ru или krpmz@mail.kuban.ru"
"
                            607266,                             Нижегородская обл, Арзамасский р-н, с.Протопоповка, ул.Заводская, д.1                        ",,"
				Арзамасский молочный завод, ООО							",
"
                                                        Россия, Республика Башкортостан, Кармаскалинский район, с. Кармаскалы                        ",,"
				Ахмадуллин Айрат Рашитович, ИП (Bella Fattoria)							",8(927)922-95-66
"
                            249414,                             Калужская область,  д. Дубровка                        ",,"
				Дьяк, КФХ							",8 (962) 170-65-84
"
                            633631,                             Новосибирская обл., Сузунский район, с. Болтово, ул. Заводская, д. 14/1                        ",,"
				Болтовский маслосырзавод, ООО							",
"
                                                        Алтайский край, с. Камышенка, ул. Молодежная, 105                        ","В составе холдинга «Ануйское АКХ, ООО»","
				Камышенский маслосырзавод, ООО				,			","(38573) 2-7330,
                            ,
                        "
"
                            249832,                             Калужская обл., Дзержинский район, г. Кондрово, ул. Кутузова, д. 34                        ",,"
				Кондрово-Молоко, ООО							","+7 (48434) 32066,  +7 (48434) 32359"
"
                            423060,                             Республика Татарстан, пгт. Аксубаево, ул. Мазилина, 98                        ","В составе холдинга «Арча, ООО»","
				Аксубаевский маслодельный завод, ООО (Вамин Татарстан ПО, ООО)				,			","8 (84344) 2-85-83,aksubaevsk.mk@tatarmilk.ru"
"
                            249271,                             Калужская обл., Сухиничский р-н,  г. Сухиничи, ул.Тявкина, д. 2                        ",,"
				Сухиничский молочный завод, ОАО							","8 (48451) 5-10-64, 5-12-74 (ф),
                            ,
                        ,mol51064@yandex.ru"
"
                            445000,                             Самарская обл, Тольятти, Транспортная 24                        ",,"
				Сыроварня, ООО (Лука. Сырные истории)							","8(961)388-00-27, 8(926)757-55-77,peshkova@lukacheese.ru"
"
                            652470,                             Кемеровская область г. Анжеро-Судженск ул. Магистральная 1                        ","В составе холдинга «Анжерское молоко, ООО»","
				Анжерское молоко, ООО 				,			","+7 (38453) 6-20-86,
                            ,
                        ,amoloko@list.ru"
"
                            171987,                             Тверская обл., Бежецкий район, г. Бежецк, ул. Большая, д. 32 кв. 8                        ",,"
				Бежецкое молоко, ООО							","+7 (965) 4060464, +7 (980) 6439389"
