address,holding,name,tel_email
"
                            307100,                             Курская обл., Фатежский район, пос. Чермошной                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				ЭКСПЕРИМЕНТАЛЬНЫЙ КОМБИНАТ ДЕТСКОГО ПИТАНИЯ, филиал ОАО Вимм-Билль-Данн				,			","
                                ,
                                ,
                            "
"
                            192174,                             Санкт-Петербург, пр. Александровской Фермы, д. 23А                        ","В составе холдинга «PULEVER TRADING LIMITED/Нева милк, ГК»","
				Невские сыры, ООО				,			","8 (812) 305- 35 -55,
                            ,
                        "
"
                                                        Краснодарский кр, Гулькевичский район, г. Гулькевичи, ул. Короткова, д. 155                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Гулькевичский маслозавод, АО				,			","+7 (861) 6024167 , +7 (86160) 21086 , +7 (86160) 34167 , +7 (86160) 51159,
                                ,
                                ,
                            "
"
                            160010,                             Вологодская область, г. Вологда, ул. Михаила Поповича, 4А                        ",В составе холдинга «Nestlé S.A.»,"
				Нестле Вологда детское питание, ООО				,			","+78172786900,
                            ,
                        ,ilya.kogan@ru.nestle.com "
"
                            660111,                             Красноярский край, г. Красноярск, ул. Пограничников, д. 9 стр. 1                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Филиал ОАО Вимм-Билль-Данн в г. Красноярске				,			","
                                ,
                                ,
                            "
"
                            646130,                             Омская область, Крутинский район, поселок городского типа                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Крутинский молочный комбинат, Филиал ОАО ""Вимм Билл Данн""				,			",
"
                            628406,                             Ханты-Мансийский автономный округ, г. Сургут, ш. Нефтеюганское,4                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Сургутский гормолзавод, Филиал ОАО ""Вимм Билль Данн""				,			","+7 (3462) 37-91-47 ,dmz@surgut.ru "
"
                            646760,                             Омская обл., пгт. Павлоградка, ул. Ленина, 4.                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Павлоградский молочный завод, Филиал ОАО ""Вимм Билль Данн""				,			",+7 (38172) 3–11–61
"
                                                        г ВОЛГОГРАД, ул АВТОТРАНСПОРТНАЯ, 43                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Филиал ОАО «Вимм-Билль-Данн» в г. Волгоград				,			",
"
                            143500,                             Московская обл., г. Истра,  ул. Московская, д. 48                        ",В составе холдинга «Danone»,"
				Истра-Нутриция, ОАО 				,			","+7 (495) 411-78-66,Info.Nutricia.Russia@danone.com,
                                ,
                                ,
                            "
"
                             660062,                             Красноярский край, г. Красноярск, Телевизорная ул., 8,                         ",В составе холдинга «Danone»,"
				Милко, ОАО				,			",
"
                                                        Ростовская область, г Ростов-На-Дону, ул Доватора, 150                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Завод Вимм-Билль-Данн  Ростове-на-Дону. Филиал ОАО ""Вимм Билль Данн""				,			",
"
                            196634,                             г. Санкт-Петербург, пос. Шушары, ул. Центральная (Детскосельский), д. 17 литера А                        ","В составе холдинга «Детскосельский, концерн ООО»","
				Детскосельские деликатесы, ООО				,			",+7 (812) 3340477
"
                                                        Рязанская обл., Рязанский район, с. Шумашь, ул. Центральная, д. 111 литера В                        ",,"
				Покровское молоко, ООО							",+7 (910) 5792929
"
                            188354,                             Ленинградская область, Гатчинский район, дер.М.Верево, ул.Кутышева, д.6В                        ",,"
				Фаэтон-Агро, ООО УК							",+7 (81371) 53268
"
                            353181,                             Краснодарский край, Кореновский район, г. Кореновск, пер. Радужный, д. 1                        ","В составе холдинга «Ренна, ГК »","
				Фабрика настоящего мороженого, ООО				,			",+7 (86142) 36011
"
                                                        Россия, Удмуртия, г. Ижевск, ул. Маяковского, 44                        ",В составе холдинга «КОМОС ГРУПП»,"
				Удмуртский хладокомбинат, ОАО				,			","+7 (341) 2505178 , +7 (341) 2307102, Факс  +7 (3412) 307076,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            "
"
                            354003,                             край КРАСНОДАРСКИЙ, г СОЧИ, ул КРАСНОДОНСКАЯ, 64                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Филиал ОАО «Вимм-Билль-Данн» в г. Сочи				,			","+7 (862) 2608240,
                                ,
                                ,
                            "
"
                            620130,                             Свердловская обл., г. Екатеринбург, ул. Авиационная, д. 48А кв. 10                        ",,"
				Уральская сыроварня, ООО							",+7 (909) 4468534
"
                                                         край КРАСНОДАРСКИЙ, г КРАСНОДАР, пгт ПАШКОВСКИЙ, ул БОРОДИНСКАЯ, 150                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Завод Вимм-Билль-Данн в Краснодаре. Филиал ОАО ""Вимм Билль Данн""				,			",
"
                            630514,                             Новосибирская обл., Новосибирский район, с. Красноглинное, ул. Мира, д. 20Б офис 34                        ",,"
				Толмачевский молочный завод, ООО							",
"
                                                        Тверская обл, Кимрский р-н, Кимры, ул. Центральная                        ",,"
				Хачтрян М.А. ИП							",89051291423 
"
                            398902,                             Липецкая обл., г. Липецк, ул. Ангарская, д. 2                        ","В составе холдинга «ПРОГРЕСС КАПИТАЛ, АО»","
				Прогресс, АО				,			","+7 (474) 2420505 , +7 (474) 2420517,
                            ,
                        ,info@progressfood.ru , office.progress@lipetsk.ru"
"
                            660020,                             Красноярский край, г. Красноярск, ул. Шахтеров, д. 33 А                         ",,"
				Рассвет, ООО							",
"
                            452775,                             Башкортостан респ., Туймазинский район, д. Карат-Тамак                        ",,"
				Куш-Буляк КХ, ООО							","+7 (34782) 30749 , +7 (34782) 50370 , +7 (34712) 30749,kb30749@mail.ru , mkt-1@mail.ru"
"
                            607684,                             Нижегородская обл., Кстовский район, пос. Ждановский, тер. Центральной Усадьбы Спк Ждановский                        ",,"
				Заснеженная Русь, ООО							","+7 (831) 4561252 , +7 (910) 3947058,
                            ,
                        ,tvorog-nn@mail.ru"
"
                            368124,                             Дагестан респ, г. Кизилюрт, ул. Буйнакского, д. 6                        ",,"
				КМЗ Колос, ООО							","+7 (87234) 21282 , +7 (87234) 21333,admin_kiz@mail.ru"
"
                            125009,                             г. Москва, пер. Газетный, д. 17                        ",,"
				Москва-Макдоналдс, ЗАО							","+7 (495) 7556622 , +7 (495) 7828817 , +7 (495) 7556641 , +7 (495) 7556600"
"
                            632640,                             Новосибирская обл., Коченевский район, рабочий пос. Коченево, проспект Марковцева, д. 2А                        ",,"
				Сибмаслопродукт, ООО ПТК							","+7 (383) 2271425, Факс +7 (383) 2271429"
"
                            641150,                             Курганская обл., Целинный район, с. Целинное, ул. Новоселов, д. 48                        ",,"
				Целинный сыродельный завод, ООО							",+7 (909) 1721333
"
                            652332,                             Кемеровская обл, Топкинский район, с. Зарубино, ул. Центральная, д. 17 офис 2                        ",В составе холдинга «Группа компаний с. Зарубино»,"
				Зерноград, ООО 				,			","+7 (961) 7020335,
                            ,
                        "
"
                            301400,                             Тульская обл., Суворовский район, д Михайловка                        ",,"
				Агрофармтрест, ООО 							",+7 (499) 4010238
"
                                                        Республика Татарстан (Татарстан), Лаишевский район, с Столбище, ул Северная, 10                        ",,"
				Каприно, ООО (Лаишевский молочный комбинат)							",
"
                            453334,                             Башкортостан респ., Кугарчинский район, д Таваканово, ул. Сэнкем, д. 4 оф. 1                        ",В составе холдинга «Государственная собственность»,"
				Тавакан, ООО				,			","+7 (347) 8923625 , +7 (34789) 23497 , +7 (34789) 23725,tavakan@mail.ru"
