address,holding,name,tel_email
"
                            142060,                             Московская область, Домодедовский район, деревня Гальчино                        ",В составе холдинга «Коалко-Агро»,"
				Барыбино, ООО ПЗ				,			","+7495996-12-01,
                            ,
                        "
"
                            612140,                             Кировская обл., Даровской р-н, пгт. Даровской, ул. Лесная, д. 1                        ","В составе холдинга «Дороничи, АГ»","
				Даровской маслодельный завод (ДМЗ), ЗАО				,			","8 (83336) 2-13-91,dar-milk@mail.ru"
"
                            394016,                             Воронежская обл, г. Воронеж, ул. 45 Стрелковой Дивизии, д. 259 ""Б                        ","В составе холдинга «Молвест, АО»","
				Малыш, ООО				,			","+7 (473) 2425285 , +7 (473) 2425297 , +7 (473) 2425271,malysh.67@mail.ru,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            "
"
                            188300,                             Ленинградская обл., Гатчинский район, г. Гатчина, ул. 120 Гатчинской дивизии, д. 1                        ","В составе холдинга «Галактика, ГК»","
				Комбинат детского питания, ООО (гатчинский)				,			","+7 (812) 7113201 , +7 (81371) 64877 , +7 (81371) 73541 , +7 (81371) 93201 , +7 (81371) 13201"
"
                                                        Воронежская обл., Лискинский р-н, с. Высокое                        ","В составе холдинга «ЭкоНива - АПК Холдинг, УК»","
				ЖК Высокое (ЭкоНиваАгро, ООО)				,			"," +7 (47391) 98-1-38,agro@ekoniva-apk.com"
"
                            422122,                              Татарстан респ., Кукморский район, с. Яныль, ул. Татарстан                        ",,"
				Имени Вахитова, СХПК							",+7 (84364) 47146 
"
                            192174,                             Санкт-Петербург, пр. Александровской Фермы, д. 23А                        ","В составе холдинга «PULEVER TRADING LIMITED/Нева милк, ГК»","
				Невские сыры, ООО				,			","8 (812) 305- 35 -55,
                            ,
                        "
"
                            397736,                             Воронежская область, Бобровский район, с. Юдановка                        ",,"
				Молочные зори (ЭкоМилк), ООО							","+7 (473) 2505814 , +7 (473) 2505848 , +7 (473) 5058147 , +7 (473) 5058148 , +7 (952) 5533550 , +7 (919) 1844373,ecomilk-gb@bk.ru"
"
                                                        Воронежская область, Хохольский р-н, рп. Хохольский, ул. 60 лет образования СССР, д. 43                        ","В составе холдинга «Молвест, АО»","
				Хохольский молочный завод, филиал МК Воронежский				,			","(47371) 44-112,
                            ,
                        ,mail@molvest.ru,
                                ,
                                ,
                            ,
                                ,
                                ,
                            "
"
                            690087,                             Приморский край, г. Владивосток, ул. Стрелочная, д. 19                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Владивостокский молочный комбинат, Филиал ОАО ""Вимм Билль Данн""				,			","+7 (423) 2200349 , +7 (423) 2499723,andrukhov@wbd.ru,
                                ,
                                ,
                            "
